Assists,Boosts,Damagedealt,Headshotkills,Heals,Kills,Longestkill,Matchduration,Matchkillrank,Revives,Ridedistance,Swimdistance,Teamkills,Walkdistance,Weaponsacquired,Winplaceperc,Ln Damage Dealt,Ln Match Kill Rank,Ln Win Place Perc
0,0,53.32,0,0,0,0,1208.00,53,0,0,0,0,603.6,3,0.6354,3.976311495,3.970291914,-0.453500557
1,3,427.50,0,1,3,181.8,1871.00,11,0,5479,0,0,2716,6,0.9615,6.057954288,2.397895273,-0.039260714
0,3,393.10,1,5,3,29.67,1327.00,12,1,756.8,0,0,2107,3,0.8511,5.974064032,2.48490665,-0.161225648
0,0,142.90,1,0,2,21.61,1921.00,25,0,0,0,0,161.3,2,0.0769,4.962145085,3.218875825,-2.565249402
0,0,61.64,0,3,1,2.046,1873.00,28,0,0,0,1,455.8,4,0.3125,4.12131101,3.33220451,-1.16315081
1,0,112.80,0,0,0,0,1919.00,44,0,1558,0,0,2992,4,0.8519,4.725616339,3.784189634,-0.16028613
0,4,373.40,0,3,2,55.76,1494.00,13,0,0,0,0,2065,2,0.9032,5.922650231,2.564949357,-0.101811266
0,7,1015.00,4,6,12,184.2,1374.00,1,1,0,0,0,3493,10,1,6.922643891,0,0
0,0,18.00,0,0,0,0,1897.00,90,0,0,0,0,26.15,0,0.0625,2.890371758,4.49980967,-2.772588722
0,6,36.44,0,0,0,0,1299.00,37,0,0,0,0,1617,7,0.931,3.595667072,3.610917913,-0.071496002
1,4,278.10,0,4,0,0,1872.00,47,0,5121,0,0,1202,7,0.3333,5.627980761,3.850147602,-1.098712294
1,4,530.30,0,8,3,25.22,1334.00,11,0,285.6,29.3,0,3997,8,0.8519,6.273442884,2.397895273,-0.16028613
0,2,244.80,0,3,2,33.49,1310.00,19,0,2663,0,0,943.3,3,0.6237,5.500441551,2.944438979,-0.472085795
0,0,290.90,0,0,2,54.7,1456.00,15,0,0,0,0,1338,2,0.9796,5.672979566,2.708050201,-0.020610954
0,2,138.60,0,2,1,25.29,1963.00,35,0,1166,0,0,2088,5,0.2963,4.931592087,3.555348061,-1.216382824
0,0,130.10,0,1,1,105.9,1455.00,27,0,265.5,11.6,0,1572,3,0.5185,4.868303386,3.295836866,-0.656815251
0,0,69.09,0,9,0,0,1848.00,46,1,1832,0,0,1519,5,0.8958,4.235410003,3.828641396,-0.110038105
0,6,22.60,0,13,0,0,1861.00,40,0,1270,37.85,0,2983,3,0.8602,3.117949906,3.688879454,-0.150590359
0,1,436.90,1,0,3,81.7,1426.00,13,0,0,0,0,290.1,2,0.4483,6.079704336,2.564949357,-0.802292628
0,0,99.48,0,0,1,20.37,1375.00,28,0,0,0,0,200.5,3,0.6304,4.599956619,3.33220451,-0.46140074
0,7,902.10,1,5,7,45.87,1798.00,1,0,1838,0,0,1707,8,0.8077,6.804725379,0,-0.213564577
2,1,192.70,1,1,1,60.29,1857.00,26,0,0,0,0,3620,7,0.7174,5.261134575,3.258096538,-0.332121714
0,2,484.80,1,3,5,224.1,1817.00,2,0,0,0,0,2975,6,0.7778,6.183736435,0.693147181,-0.251285857
0,1,35.01,0,2,0,0,1400.00,63,0,0,0,0,529.1,4,0.4615,3.555633735,4.143134726,-0.773273225
1,0,57.33,0,0,0,0,1307.00,75,0,0,0,0,101.2,1,0.2963,4.048824047,4.317488114,-1.216382824
0,1,48.70,1,0,2,13.29,1431.00,22,0,0,0,0,74.1,2,0.125,3.88567903,3.091042453,-2.079441542
0,0,28.38,0,0,0,0,1399.00,72,0,0,0,0,183.7,3,0.2609,3.345684672,4.276666119,-1.343618087
1,3,156.10,0,0,3,57.36,1794.00,7,0,4834,0,0,1840,4,0.9615,5.050496828,1.945910149,-0.039260714
0,0,74.82,0,0,0,0,1980.00,83,0,0,0,0,92.07,2,0.1474,4.315085229,4.418840608,-1.914605299
1,0,349.00,0,0,1,3.741,1356.00,31,0,0,0,0,610,7,0.6087,5.855071922,3.433987204,-0.496429743
0,0,6.63,0,0,1,112.5,1344.00,20,0,0,0,0,765.4,4,0.8077,1.891604804,2.995732274,-0.213564577
0,6,259.50,1,2,2,24.89,1881.00,10,0,3016,0,0,3391,6,1,5.558756703,2.302585093,0
0,0,122.80,0,0,0,0,1419.00,76,0,0,0,0,42.87,2,0.1778,4.810557016,4.33073334,-1.727095956
1,1,111.90,0,1,1,53.91,1894.00,23,1,2358,0,0,1691,7,0.7857,4.717605615,3.135494216,-0.241180239
2,6,819.30,1,4,7,139.5,1428.00,2,0,270.6,0,0,2983,4,0.9789,6.708450317,0.693147181,-0.021325787
0,4,109.30,1,1,1,151.8,1748.00,16,0,1307,71.43,0,3507,3,1,4.694096395,2.772588722,0
0,1,79.16,0,2,0,0,1860.00,50,0,6685,0,0,1935,4,0.7407,4.371471121,3.912023005,-0.300159594
0,0,199.00,0,0,1,55.38,1981.00,29,0,3328,0,0,2807,6,0.4286,5.293304825,3.36729583,-0.847231196
0,0,128.90,0,0,1,6.965,1310.00,40,0,0,0,0,291.5,3,0.2553,4.85903691,3.688879454,-1.365315955
0,0,54.08,0,0,1,8.418,1444.00,48,0,0,0,0,50.62,1,0.0714,3.990464432,3.871201011,-2.63945741
0,0,60.20,0,0,0,0,1364.00,86,0,0,0,0,43.46,1,0.1053,4.097672352,4.454347296,-2.25094186
0,0,100.00,0,0,1,5.878,1352.00,42,0,0,0,0,83.61,2,0.2391,4.605170186,3.737669618,-1.430873405
0,0,50.31,0,0,0,0,1391.00,79,0,0,0,0,77.38,4,0.1735,3.918203865,4.369447852,-1.75157768
0,1,36.19,0,6,0,0,1940.00,41,0,5934,53.16,0,2936,7,1,3.588782838,3.713572067,0
0,4,496.50,1,1,4,48.38,1454.00,5,1,0,0,0,2498,4,0.64,6.207583483,1.609437912,-0.446287103
0,2,339.50,2,2,3,21.95,1316.00,10,1,0,0,0,1688,2,0.8077,5.827473947,2.302585093,-0.213564577
2,0,42.87,0,0,0,0,1404.00,75,0,0,0,0,120.4,2,0.1556,3.758172281,4.317488114,-1.860466667
0,0,128.40,0,0,0,0,1787.00,58,0,1562,0,0,1445,7,0.5778,4.855150391,4.060443011,-0.548527491
0,5,267.50,2,3,3,8.265,1357.00,10,0,0,0,0,1049,4,0.8409,5.589119566,2.302585093,-0.173282532
1,3,290.00,1,1,2,409.3,1338.00,14,0,0,0,0,2690,4,0.8929,5.669880923,2.63905733,-0.113280686
0,2,4.27,1,1,1,72.76,1379.00,28,0,0,0,0,2230,4,0.7083,1.45067662,3.33220451,-0.344887546
0,1,100.00,0,1,1,61.03,1274.00,32,0,38.25,0,0,324.1,3,0.4231,4.605170186,3.465735903,-0.860146721
1,8,404.00,0,4,6,77.49,1391.00,3,0,719.2,0,0,2673,5,1,6.001414878,1.098612289,0
0,0,129.70,0,0,0,0,1363.00,62,0,0,0,0,67.7,2,0.4286,4.865224091,4.127134385,-0.847231196
0,4,23.85,0,5,0,0,1861.00,41,0,5074,497.8,0,4908,4,0.9792,3.171784217,3.713572067,-0.021019367
